# Array Size	Time Taken (nanoseconds) - Hit
10000	26.00
20000	29.00
30000	28.00
40000	31.00
50000	31.00
60000	31.00
70000	34.00
80000	34.00
90000	34.00
100000	36.00
110000	36.00
120000	36.00
130000	35.00
140000	37.00
150000	37.00
160000	37.00
170000	48.00
180000	37.00
190000	36.00
200000	36.00
210000	36.00
220000	36.00
230000	36.00
240000	43.00
250000	38.00
260000	36.00
270000	38.00
280000	39.00
290000	39.00
300000	38.00
310000	39.00
320000	39.00
330000	39.00
340000	39.00
350000	38.00
360000	39.00
370000	38.00
380000	38.00
390000	39.00
400000	39.00
410000	38.00
420000	39.00
430000	39.00
440000	39.00
450000	39.00
460000	39.00
470000	39.00
480000	39.00
490000	38.00
500000	39.00
510000	39.00
520000	39.00
530000	41.00
540000	41.00
550000	41.00
560000	41.00
570000	41.00
580000	42.00
590000	42.00
600000	41.00
610000	42.00
620000	41.00
630000	48.00
640000	41.00
650000	41.00
660000	41.00
670000	41.00
680000	41.00
690000	42.00
700000	42.00
710000	41.00
720000	78.00
730000	41.00
740000	42.00
750000	42.00
760000	42.00
770000	41.00
780000	41.00
790000	42.00
800000	41.00
810000	42.00
820000	41.00
830000	42.00
840000	41.00
850000	42.00
860000	42.00
870000	42.00
880000	41.00
890000	42.00
900000	41.00
910000	42.00
920000	41.00
930000	42.00
940000	41.00
950000	41.00
960000	41.00
970000	41.00
980000	42.00
990000	41.00
1000000	41.00
1010000	42.00
1020000	41.00
1030000	41.00
1040000	41.00
1050000	52.00
1060000	44.00
1070000	45.00
1080000	48.00
1090000	45.00
1100000	45.00
1110000	45.00
1120000	45.00
1130000	44.00
1140000	44.00
1150000	44.00
1160000	44.00
1170000	44.00
1180000	45.00
1190000	44.00
1200000	44.00
1210000	44.00
1220000	44.00
1230000	44.00
1240000	45.00
1250000	44.00
1260000	44.00
1270000	44.00
1280000	44.00
1290000	44.00
1300000	44.00
1310000	47.00
1320000	44.00
1330000	44.00
1340000	44.00
1350000	44.00
1360000	44.00
1370000	44.00
1380000	44.00
1390000	45.00
1400000	45.00
1410000	44.00
1420000	44.00
1430000	44.00
1440000	44.00
1450000	44.00
1460000	44.00
1470000	45.00
1480000	44.00
1490000	44.00
1500000	44.00
1510000	44.00
1520000	44.00
1530000	44.00
1540000	45.00
1550000	45.00
1560000	45.00
1570000	44.00
1580000	44.00
1590000	44.00
1600000	44.00
1610000	46.00
1620000	44.00
1630000	44.00
1640000	44.00
1650000	49.00
1660000	44.00
1670000	45.00
1680000	45.00
1690000	44.00
1700000	48.00
1710000	45.00
1720000	44.00
1730000	45.00
1740000	45.00
1750000	44.00
1760000	45.00
1770000	45.00
1780000	44.00
1790000	44.00
1800000	45.00
1810000	44.00
1820000	44.00
1830000	45.00
1840000	45.00
1850000	45.00
1860000	45.00
1870000	44.00
1880000	45.00
1890000	44.00
1900000	44.00
1910000	45.00
1920000	45.00
1930000	45.00
1940000	44.00
1950000	44.00
1960000	44.00
1970000	45.00
1980000	44.00
1990000	44.00
2000000	44.00
2010000	45.00
2020000	45.00
2030000	44.00
2040000	46.00
2050000	45.00
2060000	44.00
2070000	44.00
2080000	44.00
2090000	45.00
2100000	47.00
2110000	47.00
2120000	47.00
2130000	47.00
2140000	47.00
2150000	47.00
2160000	47.00
2170000	46.00
2180000	47.00
2190000	49.00
2200000	47.00
2210000	47.00
2220000	47.00
2230000	47.00
2240000	47.00
2250000	47.00
2260000	47.00
2270000	47.00
2280000	49.00
2290000	47.00
2300000	48.00
2310000	47.00
2320000	47.00
2330000	48.00
2340000	47.00
2350000	48.00
2360000	47.00
2370000	48.00
2380000	47.00
2390000	47.00
2400000	47.00
2410000	47.00
2420000	47.00
2430000	49.00
2440000	47.00
2450000	47.00
2460000	47.00
2470000	48.00
2480000	48.00
2490000	48.00
2500000	47.00
2510000	47.00
2520000	48.00
2530000	69.00
2540000	48.00
2550000	47.00
2560000	51.00
2570000	47.00
2580000	47.00
2590000	47.00
2600000	47.00
2610000	48.00
2620000	47.00
2630000	47.00
2640000	47.00
2650000	48.00
2660000	48.00
2670000	47.00
2680000	47.00
2690000	48.00
2700000	47.00
2710000	47.00
2720000	47.00
2730000	47.00
2740000	47.00
2750000	47.00
2760000	47.00
2770000	47.00
2780000	47.00
2790000	47.00
2800000	48.00
2810000	48.00
2820000	48.00
2830000	47.00
2840000	49.00
2850000	47.00
2860000	47.00
2870000	47.00
2880000	47.00
2890000	52.00
2900000	47.00
2910000	47.00
2920000	47.00
2930000	47.00
2940000	47.00
2950000	47.00
2960000	47.00
2970000	47.00
2980000	47.00
2990000	47.00
3000000	47.00
3010000	47.00
3020000	47.00
3030000	47.00
3040000	47.00
3050000	48.00
3060000	47.00
