# Array Size	Time Taken (microseconds) - Hit
1000	0.40
2000	0.70
3000	1.00
4000	1.90
5000	1.70
6000	2.00
7000	2.90
8000	2.60
9000	3.00
10000	3.30
11000	3.60
12000	4.00
13000	4.30
14000	4.60
15000	5.10
16000	5.40
17000	5.70
18000	6.00
19000	6.60
20000	6.90
21000	7.30
22000	8.10
23000	8.00
24000	8.40
25000	8.50
26000	8.90
27000	9.30
28000	9.50
29000	9.80
30000	10.10
31000	10.40
32000	11.10
33000	12.10
34000	11.70
35000	11.70
36000	11.90
37000	12.20
38000	12.60
39000	12.90
40000	13.20
41000	13.90
42000	13.70
43000	13.90
44000	14.30
45000	15.70
46000	15.00
47000	15.30
48000	16.50
49000	16.00
50000	16.30
51000	16.50
52000	16.80
53000	17.20
54000	17.50
55000	18.00
56000	18.20
57000	18.60
58000	18.90
59000	19.30
60000	19.50
61000	19.80
62000	20.20
63000	20.60
64000	21.90
65000	22.50
66000	21.60
67000	21.90
68000	22.30
69000	22.60
70000	22.80
71000	23.30
72000	23.70
73000	24.00
74000	24.30
75000	24.60
76000	24.90
77000	25.60
78000	25.50
79000	25.80
80000	28.10
81000	27.30
82000	26.80
83000	27.60
84000	27.50
85000	27.80
86000	28.00
87000	28.90
88000	29.20
89000	29.20
90000	30.60
91000	29.90
92000	30.20
93000	32.50
94000	30.80
95000	31.20
96000	31.50
97000	31.80
98000	32.20
99000	32.50
100000	32.80
101000	33.10
102000	33.50
103000	33.80
104000	34.10
105000	34.40
106000	34.90
107000	35.10
108000	35.60
109000	35.90
110000	36.20
111000	36.40
112000	36.80
113000	37.10
114000	37.40
115000	37.70
116000	38.60
117000	38.30
118000	38.80
119000	39.90
120000	39.90
121000	39.60
122000	40.00
123000	41.30
124000	41.00
125000	42.00
126000	41.30
127000	41.60
128000	41.90
129000	42.20
130000	44.70
131000	42.90
132000	43.50
133000	43.80
134000	44.10
135000	44.20
136000	44.80
137000	45.10
138000	45.80
139000	47.10
140000	45.80
141000	46.60
142000	48.00
143000	47.10
144000	47.40
145000	47.80
146000	48.00
147000	48.40
148000	49.10
149000	49.30
150000	49.60
151000	49.90
152000	50.10
153000	50.40
154000	52.60
155000	52.20
156000	52.30
157000	51.70
158000	52.60
159000	52.40
160000	53.30
161000	56.60
162000	53.90
163000	53.70
164000	54.20
165000	54.10
166000	54.90
167000	54.70
168000	57.00
169000	55.40
170000	55.90
171000	56.30
172000	58.60
173000	59.40
174000	57.20
175000	58.20
176000	57.90
177000	58.90
178000	59.70
179000	58.90
180000	59.00
181000	59.60
182000	60.10
183000	60.30
184000	62.60
185000	61.10
186000	62.20
187000	61.20
188000	64.80
189000	62.60
190000	62.50
191000	64.00
192000	63.50
193000	63.60
194000	64.00
195000	64.20
196000	65.10
197000	64.60
198000	65.40
199000	68.80
200000	65.80
201000	66.10
202000	67.20
203000	68.00
204000	67.40
205000	68.60
206000	70.40
207000	67.80
208000	68.70
209000	68.50
210000	69.10
211000	69.10
212000	71.40
213000	69.80
214000	71.50
215000	70.70
216000	71.00
217000	71.10
218000	71.80
219000	73.40
220000	72.70
221000	73.00
222000	73.10
223000	73.60
224000	73.70
225000	74.80
226000	76.90
227000	74.70
228000	75.20
229000	75.60
230000	76.90
231000	76.70
232000	76.30
233000	77.80
234000	77.00
235000	78.40
236000	78.30
237000	78.00
238000	79.90
239000	79.30
240000	79.00
241000	79.70
242000	80.20
243000	80.00
244000	80.60
245000	80.60
246000	81.70
247000	81.30
248000	81.70
249000	81.60
250000	82.50
251000	83.50
252000	84.10
253000	83.20
254000	83.70
255000	83.90
256000	83.90
257000	85.90
258000	85.30
259000	85.80
260000	86.20
261000	85.90
262000	86.20
263000	88.00
264000	88.40
265000	87.80
266000	88.00
267000	88.20
268000	88.80
269000	88.50
270000	89.30
271000	89.50
272000	91.50
273000	91.10
274000	91.00
275000	92.10
276000	96.50
277000	91.00
278000	91.70
279000	92.00
280000	94.70
281000	93.00
282000	92.80
283000	92.70
284000	94.50
285000	94.50
286000	94.60
287000	94.80
288000	98.40
289000	96.00
290000	94.90
291000	96.40
292000	97.40
293000	97.70
294000	96.80
295000	99.40
296000	98.00
297000	97.80
298000	99.00
299000	99.00
300000	99.40
301000	99.00
302000	101.70
303000	101.70
304000	100.30
305000	101.00
306000	101.10
307000	120.40
308000	113.40
309000	112.30
310000	116.10
311000	111.20
312000	112.60
313000	114.30
314000	103.90
315000	103.60
316000	106.80
317000	106.10
318000	105.10
319000	105.70
320000	105.80
321000	105.80
322000	108.60
323000	107.80
324000	107.90
325000	110.60
326000	107.90
327000	111.50
328000	107.90
329000	108.70
330000	109.30
331000	109.30
332000	110.50
333000	110.00
334000	110.80
335000	111.90
336000	112.60
337000	113.20
338000	112.60
339000	113.40
340000	115.80
341000	114.00
342000	114.10
343000	114.90
344000	116.70
345000	115.00
346000	115.10
347000	116.60
348000	116.60
349000	116.90
350000	118.10
351000	117.40
352000	117.30
353000	117.10
354000	118.20
355000	118.40
356000	119.90
357000	119.40
358000	118.70
359000	121.00
360000	120.40
361000	120.20
362000	124.20
363000	122.30
364000	123.30
365000	124.50
366000	122.40
367000	121.70
368000	122.30
369000	124.50
370000	124.50
371000	125.90
372000	124.80
373000	124.10
374000	125.10
375000	127.40
376000	125.50
377000	129.20
378000	126.60
379000	129.90
380000	126.90
381000	126.40
382000	127.20
383000	128.60
384000	129.80
385000	130.50
386000	131.40
387000	130.70
388000	152.10
389000	130.70
390000	131.10
391000	130.20
392000	131.80
393000	131.90
394000	130.90
395000	134.60
396000	132.20
397000	133.00
398000	134.60
399000	133.70
400000	134.60
401000	134.00
402000	135.20
403000	135.00
404000	135.30
405000	134.50
406000	136.20
407000	137.20
408000	136.80
409000	137.40
410000	139.00
411000	140.30
412000	138.60
413000	137.80
414000	138.60
415000	140.40
416000	139.50
417000	138.40
418000	141.90
419000	139.00
420000	140.60
421000	140.00
422000	140.40
423000	141.80
424000	141.90
425000	143.80
426000	142.10
427000	143.60
428000	142.80
429000	145.50
430000	142.60
431000	143.20
432000	145.10
433000	147.70
434000	144.90
435000	145.70
436000	145.90
437000	147.60
438000	146.30
439000	147.60
440000	147.90
441000	148.20
442000	149.30
443000	147.70
444000	147.90
445000	149.90
446000	150.00
447000	149.30
448000	151.60
449000	150.20
450000	152.70
451000	151.50
452000	152.70
453000	155.70
454000	153.20
455000	154.90
456000	153.60
457000	152.50
458000	152.70
459000	154.60
460000	154.80
461000	154.40
462000	155.10
463000	154.00
464000	159.80
465000	154.50
