# Array Size	Time Taken (nanoseconds) - Miss
10000	35.00
20000	39.00
30000	39.00
40000	43.00
50000	49.00
60000	42.00
70000	51.00
80000	47.00
90000	52.00
100000	48.00
110000	50.00
120000	50.00
130000	49.00
140000	51.00
150000	51.00
160000	51.00
170000	55.00
180000	51.00
190000	50.00
200000	55.00
210000	50.00
220000	64.00
230000	50.00
240000	50.00
250000	52.00
260000	49.00
270000	54.00
280000	53.00
290000	54.00
300000	53.00
310000	54.00
320000	54.00
330000	54.00
340000	54.00
350000	54.00
360000	54.00
370000	54.00
380000	54.00
390000	54.00
400000	54.00
410000	54.00
420000	54.00
430000	54.00
440000	54.00
450000	54.00
460000	54.00
470000	55.00
480000	54.00
490000	54.00
500000	54.00
510000	54.00
520000	54.00
530000	58.00
540000	58.00
550000	57.00
560000	57.00
570000	58.00
580000	58.00
590000	58.00
600000	58.00
610000	58.00
620000	58.00
630000	58.00
640000	58.00
650000	57.00
660000	58.00
670000	58.00
680000	58.00
690000	58.00
700000	58.00
710000	58.00
720000	58.00
730000	58.00
740000	58.00
750000	58.00
760000	58.00
770000	59.00
780000	58.00
790000	58.00
800000	58.00
810000	58.00
820000	58.00
830000	58.00
840000	58.00
850000	67.00
860000	58.00
870000	58.00
880000	58.00
890000	58.00
900000	58.00
910000	58.00
920000	58.00
930000	58.00
940000	58.00
950000	58.00
960000	58.00
970000	59.00
980000	58.00
990000	59.00
1000000	58.00
1010000	58.00
1020000	59.00
1030000	58.00
1040000	58.00
1050000	61.00
1060000	62.00
1070000	62.00
1080000	63.00
1090000	62.00
1100000	62.00
1110000	62.00
1120000	62.00
1130000	62.00
1140000	62.00
1150000	62.00
1160000	62.00
1170000	68.00
1180000	62.00
1190000	62.00
1200000	84.00
1210000	70.00
1220000	62.00
1230000	62.00
1240000	71.00
1250000	62.00
1260000	63.00
1270000	63.00
1280000	62.00
1290000	62.00
1300000	62.00
1310000	62.00
1320000	62.00
1330000	62.00
1340000	62.00
1350000	62.00
1360000	62.00
1370000	62.00
1380000	62.00
1390000	62.00
1400000	62.00
1410000	62.00
1420000	62.00
1430000	62.00
1440000	62.00
1450000	62.00
1460000	62.00
1470000	62.00
1480000	62.00
1490000	63.00
1500000	62.00
1510000	62.00
1520000	62.00
1530000	62.00
1540000	62.00
1550000	62.00
1560000	62.00
1570000	62.00
1580000	62.00
1590000	62.00
1600000	62.00
1610000	62.00
1620000	63.00
1630000	63.00
1640000	62.00
1650000	62.00
1660000	62.00
1670000	62.00
1680000	62.00
1690000	62.00
1700000	62.00
1710000	62.00
1720000	62.00
1730000	62.00
1740000	62.00
1750000	63.00
1760000	62.00
1770000	86.00
1780000	62.00
1790000	62.00
1800000	62.00
1810000	62.00
1820000	61.00
1830000	63.00
1840000	62.00
1850000	62.00
1860000	62.00
1870000	63.00
1880000	63.00
1890000	62.00
1900000	62.00
1910000	62.00
1920000	62.00
1930000	62.00
1940000	62.00
1950000	62.00
1960000	63.00
1970000	62.00
1980000	62.00
1990000	62.00
2000000	62.00
2010000	63.00
2020000	62.00
2030000	62.00
2040000	61.00
2050000	62.00
2060000	62.00
2070000	62.00
2080000	62.00
2090000	62.00
2100000	66.00
2110000	66.00
2120000	66.00
2130000	66.00
2140000	66.00
2150000	66.00
2160000	66.00
2170000	66.00
2180000	66.00
2190000	66.00
2200000	66.00
2210000	66.00
2220000	66.00
2230000	94.00
2240000	65.00
2250000	66.00
2260000	66.00
2270000	66.00
2280000	66.00
2290000	66.00
2300000	66.00
2310000	66.00
2320000	66.00
2330000	66.00
2340000	66.00
2350000	66.00
2360000	66.00
2370000	66.00
2380000	66.00
2390000	66.00
2400000	69.00
2410000	66.00
2420000	66.00
2430000	66.00
2440000	66.00
2450000	66.00
2460000	66.00
2470000	66.00
2480000	66.00
2490000	66.00
2500000	66.00
2510000	68.00
2520000	66.00
2530000	70.00
2540000	66.00
2550000	66.00
2560000	66.00
2570000	66.00
2580000	66.00
2590000	66.00
2600000	66.00
2610000	75.00
2620000	66.00
2630000	66.00
2640000	66.00
2650000	66.00
2660000	67.00
2670000	66.00
2680000	66.00
2690000	66.00
2700000	65.00
2710000	66.00
2720000	67.00
2730000	66.00
2740000	66.00
2750000	66.00
2760000	66.00
2770000	66.00
2780000	66.00
2790000	66.00
2800000	66.00
2810000	66.00
2820000	66.00
2830000	66.00
2840000	78.00
2850000	65.00
2860000	65.00
2870000	66.00
2880000	66.00
2890000	66.00
2900000	66.00
2910000	66.00
2920000	66.00
2930000	66.00
2940000	66.00
2950000	66.00
2960000	66.00
2970000	66.00
2980000	66.00
2990000	66.00
3000000	66.00
3010000	67.00
3020000	66.00
3030000	66.00
3040000	66.00
3050000	66.00
3060000	66.00
3070000	66.00
3080000	66.00
3090000	73.00
3100000	66.00
3110000	66.00
3120000	66.00
3130000	66.00
3140000	66.00
3150000	66.00
3160000	66.00
3170000	67.00
3180000	66.00
3190000	66.00
3200000	66.00
3210000	67.00
3220000	66.00
3230000	69.00
3240000	66.00
3250000	74.00
3260000	73.00
3270000	66.00
3280000	66.00
3290000	66.00
3300000	66.00
3310000	66.00
3320000	67.00
3330000	70.00
3340000	66.00
3350000	66.00
3360000	66.00
3370000	66.00
3380000	66.00
3390000	67.00
3400000	66.00
3410000	66.00
3420000	66.00
3430000	67.00
3440000	66.00
3450000	66.00
3460000	66.00
3470000	66.00
3480000	66.00
3490000	66.00
3500000	66.00
3510000	66.00
3520000	66.00
3530000	66.00
3540000	66.00
3550000	66.00
3560000	75.00
3570000	66.00
3580000	66.00
3590000	66.00
3600000	67.00
3610000	66.00
3620000	66.00
3630000	71.00
3640000	66.00
3650000	69.00
3660000	66.00
3670000	66.00
3680000	67.00
3690000	66.00
3700000	66.00
3710000	66.00
3720000	66.00
3730000	67.00
3740000	66.00
3750000	66.00
3760000	66.00
3770000	66.00
3780000	66.00
3790000	66.00
3800000	66.00
3810000	66.00
3820000	66.00
3830000	66.00
3840000	66.00
3850000	66.00
3860000	67.00
3870000	66.00
3880000	66.00
3890000	66.00
3900000	66.00
3910000	66.00
3920000	66.00
3930000	66.00
3940000	94.00
3950000	66.00
3960000	67.00
3970000	66.00
3980000	66.00
3990000	67.00
4000000	66.00
4010000	70.00
4020000	66.00
4030000	69.00
4040000	66.00
4050000	67.00
4060000	67.00
4070000	70.00
4080000	66.00
4090000	70.00
4100000	66.00
4110000	66.00
4120000	67.00
4130000	66.00
4140000	66.00
4150000	66.00
4160000	66.00
4170000	66.00
4180000	66.00
4190000	72.00
4200000	69.00
4210000	69.00
4220000	70.00
4230000	78.00
4240000	73.00
4250000	70.00
4260000	71.00
4270000	70.00
4280000	70.00
4290000	70.00
4300000	71.00
4310000	70.00
4320000	69.00
4330000	69.00
4340000	70.00
4350000	70.00
4360000	70.00
4370000	70.00
4380000	71.00
4390000	70.00
4400000	70.00
4410000	73.00
4420000	70.00
4430000	70.00
4440000	70.00
4450000	70.00
4460000	70.00
4470000	70.00
4480000	70.00
4490000	70.00
4500000	70.00
4510000	70.00
4520000	70.00
4530000	71.00
4540000	70.00
4550000	69.00
4560000	70.00
4570000	70.00
4580000	69.00
4590000	70.00
4600000	70.00
4610000	70.00
4620000	69.00
4630000	83.00
4640000	70.00
4650000	70.00
4660000	74.00
4670000	83.00
4680000	80.00
4690000	70.00
4700000	70.00
4710000	70.00
4720000	69.00
4730000	70.00
4740000	69.00
4750000	75.00
4760000	70.00
4770000	70.00
4780000	70.00
4790000	70.00
4800000	70.00
4810000	70.00
4820000	73.00
4830000	70.00
4840000	70.00
4850000	70.00
4860000	69.00
4870000	70.00
4880000	70.00
4890000	70.00
4900000	69.00
4910000	69.00
4920000	69.00
4930000	70.00
4940000	70.00
4950000	69.00
4960000	69.00
4970000	70.00
4980000	69.00
4990000	70.00
5000000	70.00
5010000	70.00
5020000	70.00
5030000	69.00
5040000	69.00
5050000	69.00
5060000	70.00
5070000	70.00
5080000	70.00
5090000	70.00
5100000	70.00
5110000	70.00
5120000	70.00
5130000	70.00
5140000	69.00
5150000	70.00
5160000	71.00
5170000	71.00
5180000	70.00
5190000	69.00
5200000	70.00
5210000	77.00
5220000	69.00
5230000	70.00
5240000	70.00
5250000	70.00
5260000	71.00
5270000	69.00
5280000	70.00
5290000	71.00
5300000	70.00
5310000	69.00
5320000	72.00
5330000	70.00
5340000	70.00
5350000	70.00
5360000	70.00
5370000	70.00
5380000	70.00
5390000	69.00
5400000	70.00
5410000	70.00
5420000	70.00
5430000	70.00
5440000	79.00
5450000	70.00
5460000	80.00
5470000	70.00
5480000	70.00
5490000	70.00
5500000	70.00
5510000	70.00
5520000	70.00
5530000	70.00
5540000	74.00
5550000	70.00
5560000	70.00
5570000	70.00
5580000	71.00
5590000	70.00
5600000	70.00
5610000	74.00
5620000	70.00
5630000	70.00
5640000	70.00
5650000	70.00
5660000	70.00
5670000	70.00
5680000	70.00
5690000	69.00
5700000	70.00
5710000	70.00
5720000	70.00
5730000	80.00
5740000	70.00
5750000	69.00
5760000	70.00
5770000	71.00
5780000	70.00
5790000	70.00
5800000	71.00
5810000	70.00
5820000	70.00
5830000	69.00
5840000	70.00
5850000	69.00
5860000	70.00
5870000	70.00
5880000	70.00
5890000	70.00
5900000	70.00
5910000	72.00
5920000	70.00
5930000	69.00
5940000	70.00
5950000	70.00
5960000	74.00
5970000	70.00
5980000	70.00
5990000	70.00
6000000	70.00
6010000	70.00
6020000	70.00
6030000	69.00
6040000	70.00
6050000	70.00
6060000	70.00
6070000	69.00
6080000	70.00
6090000	70.00
6100000	69.00
6110000	77.00
6120000	70.00
6130000	70.00
6140000	70.00
6150000	70.00
6160000	70.00
6170000	70.00
6180000	70.00
6190000	70.00
6200000	70.00
6210000	70.00
6220000	69.00
6230000	70.00
6240000	70.00
6250000	73.00
6260000	70.00
6270000	69.00
6280000	74.00
6290000	70.00
6300000	70.00
6310000	69.00
6320000	70.00
6330000	70.00
6340000	74.00
6350000	70.00
6360000	70.00
6370000	69.00
6380000	70.00
6390000	70.00
6400000	70.00
6410000	70.00
6420000	70.00
6430000	69.00
6440000	74.00
6450000	70.00
6460000	70.00
6470000	70.00
6480000	69.00
6490000	70.00
6500000	70.00
6510000	70.00
6520000	69.00
6530000	70.00
6540000	70.00
6550000	69.00
6560000	70.00
6570000	70.00
6580000	74.00
6590000	69.00
6600000	70.00
6610000	70.00
6620000	79.00
6630000	69.00
6640000	70.00
6650000	69.00
6660000	70.00
6670000	73.00
6680000	69.00
6690000	70.00
6700000	70.00
6710000	74.00
6720000	70.00
6730000	70.00
6740000	69.00
6750000	70.00
6760000	70.00
6770000	70.00
6780000	70.00
6790000	69.00
6800000	71.00
6810000	70.00
6820000	70.00
6830000	72.00
6840000	70.00
6850000	70.00
6860000	70.00
6870000	70.00
6880000	69.00
6890000	70.00
6900000	70.00
6910000	69.00
6920000	70.00
6930000	70.00
6940000	69.00
6950000	70.00
6960000	72.00
6970000	70.00
6980000	70.00
6990000	70.00
7000000	70.00
7010000	70.00
7020000	71.00
7030000	70.00
7040000	70.00
7050000	71.00
7060000	74.00
7070000	73.00
7080000	70.00
7090000	70.00
7100000	70.00
7110000	70.00
7120000	70.00
7130000	70.00
7140000	71.00
7150000	70.00
7160000	69.00
7170000	72.00
7180000	71.00
7190000	70.00
7200000	70.00
7210000	69.00
7220000	70.00
7230000	69.00
7240000	70.00
7250000	70.00
7260000	70.00
7270000	69.00
7280000	70.00
7290000	70.00
7300000	104.00
7310000	70.00
7320000	69.00
7330000	70.00
7340000	70.00
7350000	69.00
7360000	70.00
7370000	78.00
7380000	82.00
7390000	70.00
7400000	69.00
7410000	70.00
7420000	70.00
7430000	77.00
7440000	70.00
7450000	70.00
7460000	70.00
7470000	70.00
7480000	70.00
7490000	70.00
7500000	69.00
7510000	70.00
7520000	70.00
7530000	70.00
7540000	70.00
7550000	85.00
7560000	70.00
7570000	69.00
7580000	70.00
7590000	70.00
7600000	70.00
7610000	69.00
7620000	73.00
7630000	70.00
7640000	69.00
7650000	70.00
7660000	70.00
7670000	70.00
7680000	70.00
7690000	70.00
7700000	70.00
7710000	70.00
7720000	70.00
7730000	70.00
7740000	70.00
7750000	70.00
7760000	70.00
7770000	69.00
7780000	69.00
7790000	74.00
7800000	70.00
7810000	70.00
7820000	70.00
7830000	74.00
7840000	69.00
7850000	70.00
7860000	69.00
7870000	70.00
7880000	80.00
7890000	80.00
7900000	70.00
7910000	69.00
7920000	70.00
7930000	69.00
7940000	70.00
7950000	71.00
7960000	70.00
7970000	74.00
7980000	70.00
7990000	70.00
8000000	70.00
8010000	70.00
8020000	70.00
8030000	70.00
8040000	70.00
8050000	69.00
8060000	70.00
8070000	70.00
8080000	70.00
8090000	70.00
8100000	69.00
8110000	70.00
8120000	70.00
8130000	70.00
8140000	70.00
8150000	69.00
8160000	70.00
8170000	69.00
8180000	70.00
8190000	70.00
8200000	70.00
8210000	70.00
8220000	70.00
8230000	70.00
8240000	70.00
8250000	70.00
8260000	70.00
8270000	70.00
8280000	69.00
8290000	70.00
8300000	69.00
8310000	70.00
8320000	70.00
8330000	70.00
8340000	70.00
8350000	69.00
8360000	70.00
8370000	70.00
8380000	70.00
8390000	84.00
8400000	74.00
8410000	74.00
8420000	73.00
8430000	73.00
8440000	73.00
8450000	74.00
8460000	74.00
8470000	74.00
8480000	74.00
8490000	74.00
8500000	73.00
8510000	74.00
8520000	73.00
8530000	85.00
8540000	78.00
8550000	73.00
8560000	73.00
8570000	77.00
8580000	73.00
8590000	73.00
8600000	73.00
8610000	74.00
8620000	73.00
8630000	73.00
8640000	97.00
8650000	74.00
8660000	74.00
8670000	73.00
8680000	73.00
8690000	74.00
8700000	74.00
8710000	73.00
8720000	73.00
8730000	74.00
8740000	74.00
8750000	73.00
8760000	73.00
8770000	73.00
8780000	73.00
8790000	73.00
8800000	74.00
8810000	73.00
8820000	73.00
8830000	77.00
8840000	74.00
8850000	74.00
8860000	74.00
8870000	73.00
8880000	75.00
8890000	73.00
8900000	73.00
8910000	74.00
8920000	74.00
8930000	81.00
8940000	74.00
8950000	74.00
8960000	74.00
8970000	74.00
8980000	76.00
8990000	74.00
9000000	73.00
9010000	74.00
9020000	74.00
9030000	74.00
9040000	73.00
9050000	84.00
9060000	74.00
9070000	74.00
9080000	74.00
9090000	73.00
9100000	73.00
9110000	77.00
9120000	76.00
9130000	74.00
9140000	74.00
9150000	76.00
9160000	75.00
9170000	74.00
9180000	74.00
9190000	74.00
9200000	76.00
9210000	74.00
9220000	74.00
9230000	73.00
9240000	74.00
9250000	74.00
9260000	74.00
9270000	74.00
9280000	83.00
9290000	74.00
9300000	74.00
9310000	74.00
9320000	74.00
9330000	74.00
9340000	74.00
9350000	74.00
9360000	74.00
9370000	73.00
9380000	74.00
9390000	74.00
9400000	76.00
9410000	73.00
9420000	74.00
9430000	74.00
9440000	74.00
9450000	74.00
9460000	77.00
9470000	74.00
9480000	75.00
9490000	73.00
9500000	74.00
9510000	74.00
9520000	73.00
9530000	74.00
9540000	74.00
