# Array Size	Time Taken (microseconds) - Miss
1000	0.70
2000	1.30
3000	2.00
4000	2.60
5000	3.30
6000	3.90
7000	4.50
8000	5.20
9000	5.90
10000	6.50
11000	7.10
12000	7.80
13000	8.50
14000	9.10
15000	9.70
16000	10.40
17000	13.00
18000	12.20
19000	12.50
20000	13.20
21000	14.30
22000	14.90
23000	15.60
24000	16.80
25000	17.20
26000	17.90
27000	18.40
28000	19.10
29000	20.10
30000	20.00
31000	20.60
32000	21.10
33000	21.80
34000	22.30
35000	22.90
36000	23.40
37000	24.50
38000	24.60
39000	26.00
40000	26.90
41000	27.20
42000	28.20
43000	28.20
44000	28.40
45000	29.10
46000	29.70
47000	31.20
48000	31.00
49000	32.30
50000	32.30
51000	33.00
52000	33.60
53000	34.50
54000	35.20
55000	36.40
56000	36.50
57000	37.00
58000	38.20
59000	38.30
60000	39.40
61000	39.80
62000	40.40
63000	41.00
64000	41.80
65000	43.40
66000	43.10
67000	43.60
68000	44.30
69000	45.00
70000	46.20
71000	46.50
72000	47.20
73000	47.80
74000	48.70
75000	50.20
76000	49.50
77000	51.10
78000	51.40
79000	52.00
80000	52.20
81000	54.70
82000	53.50
83000	54.10
84000	54.80
85000	57.00
86000	56.30
87000	56.80
88000	58.70
89000	58.60
90000	59.60
91000	59.60
92000	60.30
93000	61.50
94000	61.50
95000	62.20
96000	62.80
97000	63.50
98000	64.60
99000	65.40
100000	66.00
101000	68.90
102000	67.80
103000	67.50
104000	68.10
105000	69.70
106000	69.40
107000	70.60
108000	71.40
109000	72.00
110000	72.00
111000	74.70
112000	73.30
113000	74.00
114000	74.60
115000	75.80
116000	76.30
117000	78.70
118000	77.30
119000	78.40
120000	79.70
121000	79.30
122000	79.90
123000	80.60
124000	81.20
125000	83.10
126000	82.50
127000	84.10
128000	83.80
129000	85.00
130000	85.60
131000	85.70
132000	87.10
133000	87.70
134000	89.00
135000	89.00
136000	90.30
137000	92.30
138000	90.40
139000	91.50
140000	92.00
141000	93.90
142000	93.40
143000	94.70
144000	94.30
145000	96.90
146000	96.60
147000	96.70
148000	97.40
149000	97.50
150000	98.20
151000	99.30
152000	100.20
153000	101.50
154000	101.90
155000	101.90
156000	103.10
157000	104.80
158000	103.90
159000	104.80
160000	107.50
161000	106.20
162000	107.30
163000	107.20
164000	109.10
165000	111.30
166000	108.80
167000	110.20
168000	110.50
169000	110.60
170000	111.30
171000	113.70
